2026-05-06 12:55:34 | INFO     | __main__                       | ╔══════════════════════════════════════════════════════╗
2026-05-06 12:55:34 | INFO     | __main__                       | ║          ContextFlow RAG  —  Starting Up             ║
2026-05-06 12:55:34 | INFO     | __main__                       | ╚══════════════════════════════════════════════════════╝
2026-05-06 12:55:34 | INFO     | __main__                       | Config: embed_device=cuda:1  reranker_device=cuda:1  ollama=http://localhost:11434
2026-05-06 12:55:34 | INFO     | __main__                       | ── [1/4] ChromaDB …
2026-05-06 12:55:35 | INFO     | app.services.chromadb_service  | Connecting to ChromaDB at: /storage/sourava/RAG_Pipeline/RAG_Page/storage/chroma_db …
2026-05-06 12:55:35 | INFO     | app.services.chromadb_service  | ChromaDB collection 'rag_chunks' ready — 0 existing docs.
2026-05-06 12:55:35 | INFO     | __main__                       | ChromaDB ready. Collection has 0 documents.
2026-05-06 12:55:35 | INFO     | __main__                       | ── [2/4] Embedding + Reranker models …
2026-05-06 12:55:35 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 12:55:35 | INFO     | __main__                       |   ContextFlow — Model Initialization
2026-05-06 12:55:35 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 12:55:35 | INFO     | __main__                       | Initializing embedding model on cuda:1 …
2026-05-06 12:55:40 | INFO     | app.services.embedding_service | Loading embedding model: BAAI/bge-large-en-v1.5 on cuda:1 …
2026-05-06 12:55:40 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 47.3 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 12:55:41 | INFO     | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-05-06 12:55:47 | INFO     | app.services.embedding_service | Embedding model: fp16 enabled.
2026-05-06 12:55:47 | INFO     | app.services.embedding_service | Embedding batch size: 512
2026-05-06 12:55:48 | INFO     | app.services.embedding_service | Embedding model warmup complete.
2026-05-06 12:55:48 | INFO     | app.services.embedding_service | Embedding model ready.
2026-05-06 12:55:48 | INFO     | __main__                       | Initializing reranker on cuda:1 …
2026-05-06 12:55:48 | INFO     | app.services.reranker_service  | Loading reranker model: BAAI/bge-reranker-v2-m3 on cuda:1 …
2026-05-06 12:55:48 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 45.9 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 12:55:48 | INFO     | sentence_transformers.base.model | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 12:55:55 | INFO     | app.services.reranker_service  | Reranker model ready.
2026-05-06 12:55:55 | INFO     | __main__                       | All PyTorch models ready.
2026-05-06 12:55:55 | INFO     | __main__                       | ── [3/4] Ollama health check …
2026-05-06 12:55:55 | INFO     | __main__                       | Checking Ollama connectivity …
2026-05-06 12:56:01 | INFO     | app.services.llm_service       | Ollama LLM (gpt-oss:20b) is ready.
2026-05-06 12:56:01 | INFO     | __main__                       | ── [4/4] Session cleanup daemon …
2026-05-06 12:56:01 | INFO     | app.core.session_cache         | Session cleanup thread started (TTL=3600s, interval=300s).
2026-05-06 12:56:01 | INFO     | app.core.session_cache         | Session cleanup daemon thread started.
2026-05-06 12:56:01 | INFO     | __main__                       | Startup complete in 26.2s.
2026-05-06 12:56:01 | INFO     | __main__                       | Launching Gradio on port 7860 …
2026-05-06 18:20:53 | INFO     | __main__                       | ╔══════════════════════════════════════════════════════╗
2026-05-06 18:20:53 | INFO     | __main__                       | ║          ContextFlow RAG  —  Starting Up             ║
2026-05-06 18:20:53 | INFO     | __main__                       | ╚══════════════════════════════════════════════════════╝
2026-05-06 18:20:53 | INFO     | __main__                       | Config: embed_device=cuda:1  reranker_device=cuda:1  ollama=http://localhost:11434
2026-05-06 18:20:53 | INFO     | __main__                       | ── [1/4] ChromaDB …
2026-05-06 18:20:54 | INFO     | app.services.chromadb_service  | Connecting to ChromaDB at: /storage/sourava/RAG_Pipeline/RAG_Page/storage/chroma_db …
2026-05-06 18:20:54 | INFO     | app.services.chromadb_service  | ChromaDB collection 'rag_chunks' ready — 0 existing docs.
2026-05-06 18:20:54 | INFO     | __main__                       | ChromaDB ready. Collection has 0 documents.
2026-05-06 18:20:54 | INFO     | __main__                       | ── [2/4] Embedding + Reranker models …
2026-05-06 18:20:54 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 18:20:54 | INFO     | __main__                       |   ContextFlow — Model Initialization
2026-05-06 18:20:54 | INFO     | __main__                       | ════════════════════════════════════════════════════════════
2026-05-06 18:20:54 | INFO     | __main__                       | Initializing embedding model on cuda:1 …
2026-05-06 18:20:58 | INFO     | app.services.embedding_service | Loading embedding model: BAAI/bge-large-en-v1.5 on cuda:1 …
2026-05-06 18:20:59 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 47.3 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 18:20:59 | INFO     | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-05-06 18:21:06 | INFO     | app.services.embedding_service | Embedding model: fp16 enabled.
2026-05-06 18:21:06 | INFO     | app.services.embedding_service | Embedding batch size: 512
2026-05-06 18:21:06 | INFO     | app.services.embedding_service | Embedding model warmup complete.
2026-05-06 18:21:06 | INFO     | app.services.embedding_service | Embedding model ready.
2026-05-06 18:21:06 | INFO     | __main__                       | Initializing reranker on cuda:1 …
2026-05-06 18:21:06 | INFO     | app.services.reranker_service  | Loading reranker model: BAAI/bge-reranker-v2-m3 on cuda:1 …
2026-05-06 18:21:06 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 45.9 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 18:21:06 | INFO     | sentence_transformers.base.model | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 18:21:13 | INFO     | app.services.reranker_service  | Reranker model ready.
2026-05-06 18:21:13 | INFO     | __main__                       | All PyTorch models ready.
2026-05-06 18:21:13 | INFO     | __main__                       | ── [3/4] Ollama health check …
2026-05-06 18:21:13 | INFO     | __main__                       | Checking Ollama connectivity …
2026-05-06 18:21:19 | INFO     | app.services.llm_service       | Ollama LLM (gpt-oss:20b) is ready.
